"","X.miRNA","means"
"813","hsa-miR-3664-3p",2
"814","hsa-miR-3664-5p",0
"815","hsa-miR-3665",0
"816","hsa-miR-3666",0
"817","hsa-miR-3667-3p",0
"818","hsa-miR-3667-5p",0
"819","hsa-miR-3668",0
"820","hsa-miR-367-3p",0
"821","hsa-miR-367-5p",0
"822","hsa-miR-3670",0
"823","hsa-miR-3671",0
"824","hsa-miR-3672",0
"825","hsa-miR-3674",0
"826","hsa-miR-3675-3p",0
"827","hsa-miR-3675-5p",1
"828","hsa-miR-3677-3p",4
"829","hsa-miR-3677-5p",0
"830","hsa-miR-3678-3p",0
"831","hsa-miR-3678-5p",0
"832","hsa-miR-3679-3p",0
"833","hsa-miR-3679-5p",0
"834","hsa-miR-3680-3p",0
"835","hsa-miR-3680-5p",0
"836","hsa-miR-3681-3p",0
"837","hsa-miR-3681-5p",0
"838","hsa-miR-3682-3p",0
"839","hsa-miR-3682-5p",0
"840","hsa-miR-3683",0
"841","hsa-miR-3684",1
"842","hsa-miR-3685",0
"843","hsa-miR-3686",0
"844","hsa-miR-3688-3p",2
"845","hsa-miR-3688-5p",0
"846","hsa-miR-3689a-3p",0
"847","hsa-miR-3689a-5p",0
"848","hsa-miR-3689b-3p",0
"849","hsa-miR-3689b-5p",0
"850","hsa-miR-3689c",0
"851","hsa-miR-3689d",0
"852","hsa-miR-3689e",0
"853","hsa-miR-3689f",0
"854","hsa-miR-369-3p",5
"855","hsa-miR-369-5p",3
"856","hsa-miR-3690",0
"857","hsa-miR-3691-3p",1
"858","hsa-miR-3691-5p",3
"859","hsa-miR-3692-3p",0
"860","hsa-miR-3692-5p",0
"861","hsa-miR-370-3p",6
"862","hsa-miR-370-5p",1
"863","hsa-miR-3713",0
"864","hsa-miR-3714",0
"865","hsa-miR-371a-3p",0
"866","hsa-miR-371a-5p",0
"867","hsa-miR-371b-3p",0
"868","hsa-miR-371b-5p",0
"869","hsa-miR-372-3p",0
"870","hsa-miR-372-5p",0
"871","hsa-miR-373-3p",0
"872","hsa-miR-373-5p",0
"873","hsa-miR-374a-3p",91
"874","hsa-miR-374a-5p",53
"875","hsa-miR-374b-3p",6
"876","hsa-miR-374b-5p",48
"877","hsa-miR-374c-3p",0
"878","hsa-miR-374c-5p",0
"879","hsa-miR-375-3p",51
"880","hsa-miR-375-5p",1
"881","hsa-miR-376a-2-5p",0
"882","hsa-miR-376a-3p",0
"883","hsa-miR-376a-5p",1
"884","hsa-miR-376b-3p",5
"885","hsa-miR-376b-5p",0
"886","hsa-miR-376c-3p",3
"887","hsa-miR-376c-5p",0
"888","hsa-miR-377-3p",1
"889","hsa-miR-377-5p",3
"890","hsa-miR-378a-3p",3409
"891","hsa-miR-378a-5p",11
"892","hsa-miR-378b",0
"893","hsa-miR-378c",27
"894","hsa-miR-378d",1
"895","hsa-miR-378e",0
"896","hsa-miR-378f",1
"897","hsa-miR-378g",1
"898","hsa-miR-378h",0
"899","hsa-miR-378i",16
"900","hsa-miR-378j",0
"901","hsa-miR-379-3p",4
"902","hsa-miR-379-5p",0
"903","hsa-miR-380-3p",0
"904","hsa-miR-380-5p",0
"905","hsa-miR-381-3p",61
"906","hsa-miR-381-5p",0
"907","hsa-miR-382-3p",0
"908","hsa-miR-382-5p",5
"909","hsa-miR-383-3p",0
"910","hsa-miR-383-5p",0
"911","hsa-miR-384",0
"912","hsa-miR-3907",0
"913","hsa-miR-3908",0
"914","hsa-miR-3909",8
"915","hsa-miR-3910",0
"916","hsa-miR-3911",0
"917","hsa-miR-3912-3p",5
"918","hsa-miR-3912-5p",0
"919","hsa-miR-3913-3p",1
"920","hsa-miR-3913-5p",2
"921","hsa-miR-3914",0
"922","hsa-miR-3915",0
"923","hsa-miR-3916",0
"924","hsa-miR-3917",0
"925","hsa-miR-3918",1
"926","hsa-miR-3919",0
"927","hsa-miR-3920",0
"928","hsa-miR-3921",0
"929","hsa-miR-3922-3p",0
"930","hsa-miR-3922-5p",0
"931","hsa-miR-3923",0
"932","hsa-miR-3924",0
"933","hsa-miR-3925-3p",0
"934","hsa-miR-3925-5p",0
"935","hsa-miR-3926",0
"936","hsa-miR-3927-3p",1
"937","hsa-miR-3927-5p",0
"938","hsa-miR-3928-3p",0
"939","hsa-miR-3928-5p",0
"940","hsa-miR-3929",19
"941","hsa-miR-3934-3p",0
"942","hsa-miR-3934-5p",6
"943","hsa-miR-3935",16
"944","hsa-miR-3936",2
"945","hsa-miR-3937",0
"946","hsa-miR-3938",1
"947","hsa-miR-3939",1
"948","hsa-miR-3940-3p",1
"949","hsa-miR-3940-5p",3
"950","hsa-miR-3941",0
"951","hsa-miR-3942-3p",1
"952","hsa-miR-3942-5p",1
"953","hsa-miR-3943",0
"954","hsa-miR-3944-3p",1
"955","hsa-miR-3944-5p",0
"956","hsa-miR-3945",0
"957","hsa-miR-3960",0
"958","hsa-miR-3972",0
"959","hsa-miR-3973",0
"960","hsa-miR-3974",0
"961","hsa-miR-3975",0
"962","hsa-miR-3976",0
"963","hsa-miR-3977",0
"964","hsa-miR-3978",0
"965","hsa-miR-409-3p",69
"966","hsa-miR-409-5p",3
"967","hsa-miR-410-3p",34
"968","hsa-miR-410-5p",0
"969","hsa-miR-411-3p",2
"970","hsa-miR-411-5p",78
"971","hsa-miR-412-3p",0
"972","hsa-miR-412-5p",0
"973","hsa-miR-421",222
"974","hsa-miR-422a",0
"975","hsa-miR-423-3p",2934
"976","hsa-miR-423-5p",3679
"977","hsa-miR-424-3p",409
"978","hsa-miR-424-5p",411
"979","hsa-miR-425-3p",46
"980","hsa-miR-425-5p",852
"981","hsa-miR-4251",0
"982","hsa-miR-4252",0
"983","hsa-miR-4253",0
"984","hsa-miR-4254",0
"985","hsa-miR-4255",0
"986","hsa-miR-4256",0
"987","hsa-miR-4257",0
"988","hsa-miR-4258",0
"989","hsa-miR-4259",0
"990","hsa-miR-4260",0
"991","hsa-miR-4261",0
"992","hsa-miR-4262",0
"993","hsa-miR-4263",0
"994","hsa-miR-4264",0
"995","hsa-miR-4265",0
"996","hsa-miR-4266",0
"997","hsa-miR-4267",0
"998","hsa-miR-4268",0
"999","hsa-miR-4269",0
"1000","hsa-miR-4270",0
"1001","hsa-miR-4271",0
"1002","hsa-miR-4272",0
"1003","hsa-miR-4273",0
"1004","hsa-miR-4274",0
"1005","hsa-miR-4275",0
"1006","hsa-miR-4276",0
"1007","hsa-miR-4277",0
"1008","hsa-miR-4278",0
"1009","hsa-miR-4279",0
"1010","hsa-miR-4280",0
"1011","hsa-miR-4281",0
"1012","hsa-miR-4282",0
"1013","hsa-miR-4283",0
"1014","hsa-miR-4284",0
"1015","hsa-miR-4285",0
"1016","hsa-miR-4286",0
"1017","hsa-miR-4287",0
"1018","hsa-miR-4288",0
"1019","hsa-miR-4289",0
"1020","hsa-miR-429",397
"1021","hsa-miR-4290",0
"1022","hsa-miR-4291",0
"1023","hsa-miR-4292",0
"1024","hsa-miR-4293",0
"1025","hsa-miR-4294",0
"1026","hsa-miR-4295",0
"1027","hsa-miR-4296",0
"1028","hsa-miR-4297",0
"1029","hsa-miR-4298",0
"1030","hsa-miR-4299",0
"1031","hsa-miR-4300",0
"1032","hsa-miR-4301",0
"1033","hsa-miR-4302",0
"1034","hsa-miR-4303",0
"1035","hsa-miR-4304",0
"1036","hsa-miR-4305",0
"1037","hsa-miR-4306",0
"1038","hsa-miR-4307",0
"1039","hsa-miR-4308",0
"1040","hsa-miR-4309",0
"1041","hsa-miR-431-3p",0
"1042","hsa-miR-431-5p",14
"1043","hsa-miR-4310",0
"1044","hsa-miR-4311",0
"1045","hsa-miR-4312",0
"1046","hsa-miR-4313",0
"1047","hsa-miR-4314",0
"1048","hsa-miR-4315",0
"1049","hsa-miR-4316",0
"1050","hsa-miR-4317",0
"1051","hsa-miR-4318",0
"1052","hsa-miR-4319",0
"1053","hsa-miR-432-3p",0
"1054","hsa-miR-432-5p",4
"1055","hsa-miR-4320",0
"1056","hsa-miR-4321",0
"1057","hsa-miR-4322",0
"1058","hsa-miR-4323",0
"1059","hsa-miR-4324",0
"1060","hsa-miR-4325",0
"1061","hsa-miR-4326",27
"1062","hsa-miR-4327",0
"1063","hsa-miR-4328",0
"1064","hsa-miR-4329",0
"1065","hsa-miR-433-3p",2
"1066","hsa-miR-433-5p",1
"1067","hsa-miR-4330",0
"1068","hsa-miR-4418",0
"1069","hsa-miR-4420",0
"1070","hsa-miR-4421",0
"1071","hsa-miR-4422",0
"1072","hsa-miR-4423-3p",0
"1073","hsa-miR-4423-5p",0
"1074","hsa-miR-4424",0
"1075","hsa-miR-4425",0
"1076","hsa-miR-4426",0
"1077","hsa-miR-4427",0
"1078","hsa-miR-4428",0
"1079","hsa-miR-4429",0
"1080","hsa-miR-4430",0
"1081","hsa-miR-4431",1
"1082","hsa-miR-4432",0
"1083","hsa-miR-4433a-3p",0
"1084","hsa-miR-4433a-5p",0
"1085","hsa-miR-4433b-3p",0
"1086","hsa-miR-4433b-5p",0
"1087","hsa-miR-4434",0
"1088","hsa-miR-4435",6
"1089","hsa-miR-4436a",0
"1090","hsa-miR-4436b-3p",0
"1091","hsa-miR-4436b-5p",0
"1092","hsa-miR-4437",0
"1093","hsa-miR-4438",0
"1094","hsa-miR-4439",0
"1095","hsa-miR-4440",0
"1096","hsa-miR-4441",0
"1097","hsa-miR-4442",0
"1098","hsa-miR-4443",0
"1099","hsa-miR-4444",0
"1100","hsa-miR-4445-3p",0
"1101","hsa-miR-4445-5p",0
"1102","hsa-miR-4446-3p",0
"1103","hsa-miR-4446-5p",0
"1104","hsa-miR-4447",0
"1105","hsa-miR-4448",2
"1106","hsa-miR-4449",0
"1107","hsa-miR-4450",0
"1108","hsa-miR-4451",0
"1109","hsa-miR-4452",0
"1110","hsa-miR-4453",0
"1111","hsa-miR-4454",1
"1112","hsa-miR-4455",0
"1113","hsa-miR-4456",0
"1114","hsa-miR-4457",0
"1115","hsa-miR-4458",0
"1116","hsa-miR-4460",0
"1117","hsa-miR-4462",0
"1118","hsa-miR-4463",0
"1119","hsa-miR-4464",0
"1120","hsa-miR-4465",0
"1121","hsa-miR-4466",2
"1122","hsa-miR-4467",0
"1123","hsa-miR-4468",0
"1124","hsa-miR-4469",0
"1125","hsa-miR-4470",0
"1126","hsa-miR-4471",0
"1127","hsa-miR-4472",0
"1128","hsa-miR-4473",0
"1129","hsa-miR-4474-3p",0
"1130","hsa-miR-4474-5p",0
"1131","hsa-miR-4475",0
"1132","hsa-miR-4476",0
"1133","hsa-miR-4477a",0
"1134","hsa-miR-4477b",1
"1135","hsa-miR-4478",0
"1136","hsa-miR-4479",1
"1137","hsa-miR-448",0
"1138","hsa-miR-4480",0
"1139","hsa-miR-4481",0
"1140","hsa-miR-4482-3p",0
"1141","hsa-miR-4482-5p",0
"1142","hsa-miR-4483",0
"1143","hsa-miR-4484",0
"1144","hsa-miR-4485-3p",3
"1145","hsa-miR-4485-5p",0
"1146","hsa-miR-4486",0
"1147","hsa-miR-4487",0
"1148","hsa-miR-4488",0
"1149","hsa-miR-4489",1
"1150","hsa-miR-4490",0
"1151","hsa-miR-4491",0
"1152","hsa-miR-4492",0
"1153","hsa-miR-4493",0
"1154","hsa-miR-4494",0
"1155","hsa-miR-4495",0
"1156","hsa-miR-4496",0
"1157","hsa-miR-4497",0
"1158","hsa-miR-4498",0
"1159","hsa-miR-4499",0
"1160","hsa-miR-449a",2
"1161","hsa-miR-449b-3p",0
"1162","hsa-miR-449b-5p",1
"1163","hsa-miR-449c-3p",0
"1164","hsa-miR-449c-5p",1
"1165","hsa-miR-4500",0
"1166","hsa-miR-4501",0
"1167","hsa-miR-4502",0
"1168","hsa-miR-4503",0
"1169","hsa-miR-4504",0
"1170","hsa-miR-4505",0
"1171","hsa-miR-4506",0
"1172","hsa-miR-4507",0
"1173","hsa-miR-4508",0
"1174","hsa-miR-4509",0
"1175","hsa-miR-450a-1-3p",0
"1176","hsa-miR-450a-2-3p",2
"1177","hsa-miR-450a-5p",28
"1178","hsa-miR-450b-3p",0
"1179","hsa-miR-450b-5p",59
"1180","hsa-miR-4510",1
"1181","hsa-miR-4511",2
"1182","hsa-miR-4512",0
"1183","hsa-miR-4513",0
"1184","hsa-miR-4514",0
"1185","hsa-miR-4515",0
"1186","hsa-miR-4516",0
"1187","hsa-miR-4517",5
"1188","hsa-miR-4518",0
"1189","hsa-miR-4519",0
"1190","hsa-miR-451a",0
"1191","hsa-miR-451b",0
"1192","hsa-miR-452-3p",0
"1193","hsa-miR-452-5p",107
"1194","hsa-miR-4520-2-3p",0
"1195","hsa-miR-4520-3p",2
"1196","hsa-miR-4520-5p",0
"1197","hsa-miR-4521",39
"1198","hsa-miR-4522",0
"1199","hsa-miR-4523",0
"1200","hsa-miR-4524a-3p",0
"1201","hsa-miR-4524a-5p",0
"1202","hsa-miR-4524b-3p",0
"1203","hsa-miR-4524b-5p",0
"1204","hsa-miR-4525",0
"1205","hsa-miR-4526",0
"1206","hsa-miR-4527",0
"1207","hsa-miR-4528",0
"1208","hsa-miR-4529-3p",0
"1209","hsa-miR-4529-5p",0
"1210","hsa-miR-4530",0
"1211","hsa-miR-4531",0
"1212","hsa-miR-4533",0
"1213","hsa-miR-4534",0
"1214","hsa-miR-4535",0
"1215","hsa-miR-4536-3p",0
"1216","hsa-miR-4536-5p",0
"1217","hsa-miR-4537",0
"1218","hsa-miR-4538",0
"1219","hsa-miR-4539",0
"1220","hsa-miR-454-3p",125
"1221","hsa-miR-454-5p",69
"1222","hsa-miR-4540",0
"1223","hsa-miR-455-3p",20
"1224","hsa-miR-455-5p",72
"1225","hsa-miR-4632-3p",0
"1226","hsa-miR-4632-5p",0
"1227","hsa-miR-4633-3p",0
"1228","hsa-miR-4633-5p",0
"1229","hsa-miR-4634",0
"1230","hsa-miR-4635",0
"1231","hsa-miR-4636",0
"1232","hsa-miR-4637",0
"1233","hsa-miR-4638-3p",1
"1234","hsa-miR-4638-5p",0
"1235","hsa-miR-4639-3p",0
"1236","hsa-miR-4639-5p",0
"1237","hsa-miR-4640-3p",0
"1238","hsa-miR-4640-5p",0
"1239","hsa-miR-4641",0
"1240","hsa-miR-4642",0
"1241","hsa-miR-4643",0
"1242","hsa-miR-4644",0
"1243","hsa-miR-4645-3p",0
"1244","hsa-miR-4645-5p",0
"1245","hsa-miR-4646-3p",0
"1246","hsa-miR-4646-5p",0
"1247","hsa-miR-4647",1
"1248","hsa-miR-4648",0
"1249","hsa-miR-4649-3p",0
"1250","hsa-miR-4649-5p",0
"1251","hsa-miR-4650-3p",0
"1252","hsa-miR-4650-5p",0
"1253","hsa-miR-4651",0
"1254","hsa-miR-4652-3p",0
"1255","hsa-miR-4652-5p",0
"1256","hsa-miR-4653-3p",0
"1257","hsa-miR-4653-5p",0
"1258","hsa-miR-4654",0
"1259","hsa-miR-4655-3p",0
"1260","hsa-miR-4655-5p",0
"1261","hsa-miR-4656",0
"1262","hsa-miR-4657",0
"1263","hsa-miR-4658",0
"1264","hsa-miR-4659a-3p",1
"1265","hsa-miR-4659a-5p",0
"1266","hsa-miR-4659b-3p",0
"1267","hsa-miR-4659b-5p",0
"1268","hsa-miR-466",0
"1269","hsa-miR-4660",0
"1270","hsa-miR-4661-3p",0
"1271","hsa-miR-4661-5p",6
"1272","hsa-miR-4662a-3p",0
"1273","hsa-miR-4662a-5p",3
"1274","hsa-miR-4662b",0
"1275","hsa-miR-4663",0
"1276","hsa-miR-4664-3p",1
"1277","hsa-miR-4664-5p",0
"1278","hsa-miR-4665-3p",0
"1279","hsa-miR-4665-5p",0
"1280","hsa-miR-4666a-3p",0
"1281","hsa-miR-4666a-5p",1
"1282","hsa-miR-4666b",0
"1283","hsa-miR-4667-3p",0
"1284","hsa-miR-4667-5p",0
"1285","hsa-miR-4668-3p",0
"1286","hsa-miR-4668-5p",0
"1287","hsa-miR-4669",0
"1288","hsa-miR-4670-3p",0
"1289","hsa-miR-4670-5p",0
"1290","hsa-miR-4671-3p",4
"1291","hsa-miR-4671-5p",2
"1292","hsa-miR-4672",0
"1293","hsa-miR-4673",0
"1294","hsa-miR-4674",0
"1295","hsa-miR-4675",0
"1296","hsa-miR-4676-3p",0
"1297","hsa-miR-4676-5p",0
"1298","hsa-miR-4677-3p",30
"1299","hsa-miR-4677-5p",1
"1300","hsa-miR-4678",0
"1301","hsa-miR-4679",0
"1302","hsa-miR-4680-3p",0
"1303","hsa-miR-4680-5p",0
"1304","hsa-miR-4681",0
"1305","hsa-miR-4682",0
"1306","hsa-miR-4683",0
"1307","hsa-miR-4684-3p",0
"1308","hsa-miR-4684-5p",0
"1309","hsa-miR-4685-3p",0
"1310","hsa-miR-4685-5p",0
"1311","hsa-miR-4686",0
"1312","hsa-miR-4687-3p",0
"1313","hsa-miR-4687-5p",0
"1314","hsa-miR-4688",0
"1315","hsa-miR-4689",0
"1316","hsa-miR-4690-3p",1
"1317","hsa-miR-4690-5p",0
"1318","hsa-miR-4691-3p",0
"1319","hsa-miR-4691-5p",0
"1320","hsa-miR-4692",0
"1321","hsa-miR-4693-3p",0
"1322","hsa-miR-4693-5p",0
"1323","hsa-miR-4694-3p",0
"1324","hsa-miR-4694-5p",0
"1325","hsa-miR-4695-3p",0
"1326","hsa-miR-4695-5p",0
"1327","hsa-miR-4696",0
"1328","hsa-miR-4697-3p",0
"1329","hsa-miR-4697-5p",0
"1330","hsa-miR-4698",0
"1331","hsa-miR-4699-3p",0
"1332","hsa-miR-4699-5p",0
"1333","hsa-miR-4700-3p",0
"1334","hsa-miR-4700-5p",0
"1335","hsa-miR-4701-3p",0
"1336","hsa-miR-4701-5p",0
"1337","hsa-miR-4703-3p",0
"1338","hsa-miR-4703-5p",0
"1339","hsa-miR-4704-3p",0
"1340","hsa-miR-4704-5p",0
"1341","hsa-miR-4705",0
"1342","hsa-miR-4706",0
"1343","hsa-miR-4707-3p",0
"1344","hsa-miR-4707-5p",1
"1345","hsa-miR-4708-3p",0
"1346","hsa-miR-4708-5p",0
"1347","hsa-miR-4709-3p",1
"1348","hsa-miR-4709-5p",0
"1349","hsa-miR-4710",0
"1350","hsa-miR-4711-3p",0
"1351","hsa-miR-4711-5p",0
"1352","hsa-miR-4712-3p",0
"1353","hsa-miR-4712-5p",0
"1354","hsa-miR-4713-3p",0
"1355","hsa-miR-4713-5p",0
"1356","hsa-miR-4714-3p",0
"1357","hsa-miR-4714-5p",0
"1358","hsa-miR-4715-3p",0
"1359","hsa-miR-4715-5p",0
"1360","hsa-miR-4716-3p",0
"1361","hsa-miR-4716-5p",0
"1362","hsa-miR-4717-3p",0
"1363","hsa-miR-4717-5p",0
"1364","hsa-miR-4718",0
"1365","hsa-miR-4719",0
"1366","hsa-miR-4720-3p",0
"1367","hsa-miR-4720-5p",0
"1368","hsa-miR-4721",0
"1369","hsa-miR-4722-3p",0
"1370","hsa-miR-4722-5p",0
"1371","hsa-miR-4723-3p",0
"1372","hsa-miR-4723-5p",0
"1373","hsa-miR-4724-3p",0
"1374","hsa-miR-4724-5p",0
"1375","hsa-miR-4725-3p",0
"1376","hsa-miR-4725-5p",0
"1377","hsa-miR-4726-3p",0
"1378","hsa-miR-4726-5p",0
"1379","hsa-miR-4727-3p",0
"1380","hsa-miR-4727-5p",0
"1381","hsa-miR-4728-3p",0
"1382","hsa-miR-4728-5p",0
"1383","hsa-miR-4729",0
"1384","hsa-miR-4730",0
"1385","hsa-miR-4731-3p",0
"1386","hsa-miR-4731-5p",0
"1387","hsa-miR-4732-3p",0
"1388","hsa-miR-4732-5p",0
"1389","hsa-miR-4733-3p",0
"1390","hsa-miR-4733-5p",1
"1391","hsa-miR-4734",0
"1392","hsa-miR-4735-3p",0
"1393","hsa-miR-4735-5p",0
"1394","hsa-miR-4736",0
"1395","hsa-miR-4737",0
"1396","hsa-miR-4738-3p",1
"1397","hsa-miR-4738-5p",0
"1398","hsa-miR-4739",0
"1399","hsa-miR-4740-3p",0
"1400","hsa-miR-4740-5p",0
"1401","hsa-miR-4741",0
"1402","hsa-miR-4742-3p",0
"1403","hsa-miR-4742-5p",0
"1404","hsa-miR-4743-3p",0
"1405","hsa-miR-4743-5p",0
"1406","hsa-miR-4744",0
"1407","hsa-miR-4745-3p",0
"1408","hsa-miR-4745-5p",2
"1409","hsa-miR-4746-3p",0
"1410","hsa-miR-4746-5p",8
"1411","hsa-miR-4747-3p",0
"1412","hsa-miR-4747-5p",0
"1413","hsa-miR-4748",0
"1414","hsa-miR-4749-3p",0
"1415","hsa-miR-4749-5p",0
"1416","hsa-miR-4750-3p",0
"1417","hsa-miR-4750-5p",0
"1418","hsa-miR-4751",0
"1419","hsa-miR-4752",0
"1420","hsa-miR-4753-3p",0
"1421","hsa-miR-4753-5p",0
"1422","hsa-miR-4754",0
"1423","hsa-miR-4755-3p",0
"1424","hsa-miR-4755-5p",0
"1425","hsa-miR-4756-3p",0
"1426","hsa-miR-4756-5p",0
"1427","hsa-miR-4757-3p",1
"1428","hsa-miR-4757-5p",0
"1429","hsa-miR-4758-3p",0
"1430","hsa-miR-4758-5p",0
"1431","hsa-miR-4759",0
"1432","hsa-miR-4760-3p",0
"1433","hsa-miR-4760-5p",0
"1434","hsa-miR-4761-3p",1
"1435","hsa-miR-4761-5p",0
"1436","hsa-miR-4762-3p",0
"1437","hsa-miR-4762-5p",4
"1438","hsa-miR-4763-3p",0
"1439","hsa-miR-4763-5p",0
"1440","hsa-miR-4764-3p",0
"1441","hsa-miR-4764-5p",0
"1442","hsa-miR-4765",0
"1443","hsa-miR-4766-3p",0
"1444","hsa-miR-4766-5p",0
"1445","hsa-miR-4767",1
"1446","hsa-miR-4768-3p",0
"1447","hsa-miR-4768-5p",3
"1448","hsa-miR-4769-3p",0
"1449","hsa-miR-4769-5p",0
"1450","hsa-miR-4770",0
"1451","hsa-miR-4771",0
"1452","hsa-miR-4772-3p",0
"1453","hsa-miR-4772-5p",0
"1454","hsa-miR-4773",0
"1455","hsa-miR-4774-3p",0
"1456","hsa-miR-4774-5p",0
"1457","hsa-miR-4775",13
"1458","hsa-miR-4776-3p",0
"1459","hsa-miR-4776-5p",0
"1460","hsa-miR-4777-3p",0
"1461","hsa-miR-4777-5p",0
"1462","hsa-miR-4778-3p",0
"1463","hsa-miR-4778-5p",0
"1464","hsa-miR-4779",0
"1465","hsa-miR-4780",0
"1466","hsa-miR-4781-3p",1
"1467","hsa-miR-4781-5p",0
"1468","hsa-miR-4782-3p",0
"1469","hsa-miR-4782-5p",0
"1470","hsa-miR-4783-3p",0
"1471","hsa-miR-4783-5p",0
"1472","hsa-miR-4784",0
"1473","hsa-miR-4785",2
"1474","hsa-miR-4786-3p",0
"1475","hsa-miR-4786-5p",1
"1476","hsa-miR-4787-3p",0
"1477","hsa-miR-4787-5p",0
"1478","hsa-miR-4788",0
"1479","hsa-miR-4789-3p",0
"1480","hsa-miR-4789-5p",0
"1481","hsa-miR-4790-3p",0
"1482","hsa-miR-4790-5p",0
"1483","hsa-miR-4791",0
"1484","hsa-miR-4793-3p",0
"1485","hsa-miR-4793-5p",0
"1486","hsa-miR-4794",0
"1487","hsa-miR-4795-3p",0
"1488","hsa-miR-4795-5p",0
"1489","hsa-miR-4796-3p",0
"1490","hsa-miR-4796-5p",0
"1491","hsa-miR-4797-3p",0
"1492","hsa-miR-4797-5p",0
"1493","hsa-miR-4798-3p",0
"1494","hsa-miR-4798-5p",0
"1495","hsa-miR-4799-3p",0
"1496","hsa-miR-4799-5p",0
"1497","hsa-miR-4800-3p",0
"1498","hsa-miR-4800-5p",0
"1499","hsa-miR-4801",0
"1500","hsa-miR-4802-3p",1
"1501","hsa-miR-4802-5p",0
"1502","hsa-miR-4803",0
"1503","hsa-miR-4804-3p",0
"1504","hsa-miR-4804-5p",3
"1505","hsa-miR-483-3p",0
"1506","hsa-miR-483-5p",0
"1507","hsa-miR-484",325
"1508","hsa-miR-485-3p",4
"1509","hsa-miR-485-5p",3
"1510","hsa-miR-486-3p",0
"1511","hsa-miR-486-5p",14.5
"1512","hsa-miR-487a-3p",6
"1513","hsa-miR-487a-5p",0
"1514","hsa-miR-487b-3p",7
"1515","hsa-miR-487b-5p",0
"1516","hsa-miR-488-3p",0
"1517","hsa-miR-488-5p",0
"1518","hsa-miR-489-3p",0
"1519","hsa-miR-489-5p",0
"1520","hsa-miR-490-3p",0
"1521","hsa-miR-490-5p",0
"1522","hsa-miR-491-3p",1
"1523","hsa-miR-491-5p",0
"1524","hsa-miR-492",0
"1525","hsa-miR-493-3p",19
"1526","hsa-miR-493-5p",11
"1527","hsa-miR-494-3p",1
"1528","hsa-miR-494-5p",0
"1529","hsa-miR-495-3p",0
"1530","hsa-miR-495-5p",0
"1531","hsa-miR-496",0
"1532","hsa-miR-497-3p",0
"1533","hsa-miR-497-5p",0
"1534","hsa-miR-498-3p",0
"1535","hsa-miR-498-5p",0
"1536","hsa-miR-4999-3p",1
"1537","hsa-miR-4999-5p",0
"1538","hsa-miR-499a-3p",0
"1539","hsa-miR-499a-5p",0
"1540","hsa-miR-499b-3p",0
"1541","hsa-miR-499b-5p",0
"1542","hsa-miR-5000-3p",2
"1543","hsa-miR-5000-5p",0
"1544","hsa-miR-5001-3p",0
"1545","hsa-miR-5001-5p",1
"1546","hsa-miR-5002-3p",0
"1547","hsa-miR-5002-5p",0
"1548","hsa-miR-5003-3p",0
"1549","hsa-miR-5003-5p",0
"1550","hsa-miR-5004-3p",0
"1551","hsa-miR-5004-5p",0
"1552","hsa-miR-5006-3p",0
"1553","hsa-miR-5006-5p",0
"1554","hsa-miR-5007-3p",0
"1555","hsa-miR-5007-5p",0
"1556","hsa-miR-5008-3p",1
"1557","hsa-miR-5008-5p",0
"1558","hsa-miR-5009-3p",0
"1559","hsa-miR-5009-5p",0
"1560","hsa-miR-500a-3p",455
"1561","hsa-miR-500a-5p",8
"1562","hsa-miR-500b-3p",0
"1563","hsa-miR-500b-5p",1
"1564","hsa-miR-501-3p",259
"1565","hsa-miR-501-5p",8
"1566","hsa-miR-5010-3p",4
"1567","hsa-miR-5010-5p",1
"1568","hsa-miR-5011-3p",0
"1569","hsa-miR-5011-5p",0
"1570","hsa-miR-502-3p",22
"1571","hsa-miR-502-5p",0
"1572","hsa-miR-503-3p",5
"1573","hsa-miR-503-5p",19
"1574","hsa-miR-504-3p",0
"1575","hsa-miR-504-5p",0
"1576","hsa-miR-5047",0
"1577","hsa-miR-505-3p",38
"1578","hsa-miR-505-5p",7
"1579","hsa-miR-506-3p",5
"1580","hsa-miR-506-5p",0
"1581","hsa-miR-507",0
"1582","hsa-miR-508-3p",27
"1583","hsa-miR-508-5p",1
"1584","hsa-miR-5087",0
"1585","hsa-miR-5088-3p",0
"1586","hsa-miR-5088-5p",2
"1587","hsa-miR-5089-3p",0
"1588","hsa-miR-5089-5p",0
"1589","hsa-miR-509-3-5p",6
"1590","hsa-miR-509-3p",178
"1591","hsa-miR-509-5p",2
"1592","hsa-miR-5090",0
"1593","hsa-miR-5091",0
"1594","hsa-miR-5092",3
"1595","hsa-miR-5093",0
"1596","hsa-miR-5094",2
"1597","hsa-miR-510-3p",0
"1598","hsa-miR-510-5p",2
"1599","hsa-miR-5100",0
"1600","hsa-miR-511-3p",0
"1601","hsa-miR-511-5p",0
"1602","hsa-miR-512-3p",0
"1603","hsa-miR-512-5p",0
"1604","hsa-miR-513a-3p",0
"1605","hsa-miR-513a-5p",0
"1606","hsa-miR-513b-3p",0
"1607","hsa-miR-513b-5p",1
"1608","hsa-miR-513c-3p",1
"1609","hsa-miR-513c-5p",0
"1610","hsa-miR-514a-3p",10
"1611","hsa-miR-514a-5p",3
"1612","hsa-miR-514b-3p",0
"1613","hsa-miR-514b-5p",1
"1614","hsa-miR-515-3p",0
